,交易时间,月份,来源,收/支,支付状态,类型,交易对方,商品,金额,逻辑1,逻辑2,乘后金额
38,2023-11-30 11:49:08,11,支付宝,不计收支,交易成功,即时到账交易,东海广场店,上海全家购物,11.6,-1,1,-11.6
39,2023-11-30 08:47:55,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
40,2023-11-30 08:38:00,11,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,12.0,-1,1,-12.0
41,2023-11-29 19:47:15,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
42,2023-11-29 12:05:56,11,支付宝,不计收支,交易成功,即时到账交易,东海广场店,上海全家购物,11.6,-1,1,-11.6
43,2023-11-29 08:48:09,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
44,2023-11-29 08:43:16,11,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23112911100400000029755061916011,9.9,-1,1,-9.9
45,2023-11-28 20:18:12,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
46,2023-11-28 12:07:16,11,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,照烧鸡骰子牛肉双拼饭,19.9,-1,1,-19.9
47,2023-11-28 08:54:51,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
48,2023-11-28 08:29:28,11,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,23.9,-1,1,-23.9
49,2023-11-27 19:18:17,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
50,2023-11-27 18:17:28,11,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,13.0,-1,1,-13.0
51,2023-11-27 11:54:52,11,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,照烧鸡骰子牛肉双拼饭,19.9,-1,1,-19.9
52,2023-11-27 08:52:01,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
53,2023-11-27 08:44:46,11,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23112711100400000029480398815011,9.9,-1,1,-9.9
54,2023-11-27 01:22:26,11,支付宝,不计收支,交易成功,即时到账交易,信阳义务小商品批发,信阳义务小商品批发扫码收款,102.0,-1,1,-102.0
55,2023-11-26 13:14:47,11,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,8.8,-1,1,-8.8
56,2023-11-25 23:58:37,11,支付宝,不计收支,还款成功,即时到账交易,招商银行,信用卡还款,100.5,-1,0,-0.0
57,2023-11-25 09:42:26,11,支付宝,不计收支,交易成功,即时到账交易,老杨修车点(三林苑东门口),收钱码收款,30.0,-1,1,-30.0
58,2023-11-25 00:23:29,11,支付宝,不计收支,交易成功,即时到账交易,拼多多平台商户,商户单号XP1123112500200041702146003217,42.47,-1,1,-42.47
59,2023-11-24 19:35:01,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
60,2023-11-24 11:57:44,11,支付宝,不计收支,还款成功,即时到账交易,招商银行,信用卡还款,100.0,-1,0,-0.0
61,2023-11-24 11:23:20,11,支付宝,支出,交易成功,支付宝担保交易,中国移动和包官方旗舰店,手机充值,100.0,-1,1,-100.0
62,2023-11-24 08:55:38,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
63,2023-11-24 08:52:01,11,支付宝,不计收支,交易成功,即时到账交易,luckincoffee,订单付款,13.05,-1,1,-13.05
64,2023-11-23 22:40:21,11,支付宝,不计收支,交易成功,即时到账交易,拼多多平台商户,商户单号XP2423112322200986426435006417,7.6,-1,1,-7.6
65,2023-11-23 19:29:39,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
66,2023-11-23 11:55:56,11,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,照烧鸡骰子牛肉双拼饭,19.9,-1,1,-19.9
67,2023-11-23 08:51:07,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
68,2023-11-23 08:40:48,11,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23112311100400000028859443421011,9.9,-1,1,-9.9
69,2023-11-22 19:09:15,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
70,2023-11-22 12:14:50,11,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,农夫山泉饮用天然水550ml,3.0,-1,1,-3.0
71,2023-11-22 11:54:22,11,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,烧汁肥牛饭,19.9,-1,1,-19.9
72,2023-11-22 08:51:37,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
73,2023-11-22 08:48:28,11,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23112211100400000028721080339011,9.9,-1,1,-9.9
74,2023-11-21 22:16:48,11,支付宝,不计收支,交易成功,即时到账交易,羽梦球馆,收钱码收款,5.0,-1,1,-5.0
75,2023-11-21 19:36:07,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--浦三路,4.0,-1,1,-4.0
76,2023-11-21 11:50:23,11,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,逸匠酸萝卜牛肉便当,17.9,-1,1,-17.9
77,2023-11-21 08:59:50,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
78,2023-11-21 08:56:10,11,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23112111100400000028583726996011,9.9,-1,1,-9.9
79,2023-11-20 23:27:07,11,支付宝,不计收支,交易成功,即时到账交易,拼多多平台商户,商户单号XP1823112023200842573798001321,13.0,-1,1,-13.0
80,2023-11-20 23:22:38,11,支付宝,不计收支,交易成功,即时到账交易,拼多多平台商户,商户单号XP1023112023200842480937006345,38.25,-1,1,-38.25
81,2023-11-20 19:02:36,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
82,2023-11-20 08:55:34,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
83,2023-11-19 13:50:01,11,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23111911100400000028342646728011,20.0,-1,1,-20.0
84,2023-11-18 21:59:58,11,支付宝,不计收支,交易成功,即时到账交易,拼多多平台商户,商户单号XP1523111821201823950959001025,8.8,-1,1,-8.8
85,2023-11-18 19:14:46,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,张江路--三林东,4.0,-1,1,-4.0
86,2023-11-18 18:34:28,11,支付宝,不计收支,交易成功,即时到账交易,华联超市虹御小区店,华联超市虹御小区店_10021002311181834270417045355732,2.0,-1,1,-2.0
87,2023-11-18 18:17:07,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--张江路,4.0,-1,1,-4.0
88,2023-11-17 19:06:52,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
89,2023-11-17 12:07:43,11,支付宝,不计收支,交易成功,即时到账交易,中国建设银行,提现-实时提现,20.0,-1,1,-20.0
90,2023-11-17 11:47:16,11,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,逸匠小炒肉便当,16.9,-1,1,-16.9
91,2023-11-17 08:51:21,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
92,2023-11-17 01:01:07,11,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23111711100400000027954134864011,9.9,-1,1,-9.9
93,2023-11-16 19:15:27,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--华夏西路,4.0,-1,1,-4.0
94,2023-11-16 12:11:13,11,支付宝,不计收支,交易成功,即时到账交易,luckincoffee,订单付款,14.72,-1,1,-14.72
95,2023-11-16 12:05:06,11,支付宝,不计收支,交易成功,即时到账交易,常德店,上海全家购物,14.8,-1,1,-14.8
96,2023-11-16 11:30:49,11,支付宝,支出,交易成功,即时到账交易,App Store & Apple Music,App Store & Apple Music；11.09至11.16期间购买,35.0,-1,1,-35.0
97,2023-11-16 11:29:19,11,支付宝,收入,交易成功,即时到账交易,yoki,转账,100.0,1,1,100.0
98,2023-11-16 08:45:26,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
99,2023-11-15 18:54:11,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--张江路,4.0,-1,1,-4.0
100,2023-11-14 23:58:36,11,支付宝,不计收支,交易成功,即时到账交易,上海好德便利有限公司,好德便利聚合支付扫码付,2.5,-1,1,-2.5
101,2023-11-14 12:29:19,11,支付宝,支出,交易成功,即时到账交易,App Store & Apple Music,App Store & Apple Music；11.14购买,8.0,-1,1,-8.0
102,2023-11-13 19:58:20,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,华夏中路--张江路,3.0,-1,1,-3.0
103,2023-11-13 18:34:45,11,支付宝,不计收支,交易成功,即时到账交易,罗森(万科御河公馆),支付宝支付万科御河公馆消费,2.8,-1,1,-2.8
104,2023-11-13 18:21:37,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,张江路--华夏中路,3.0,-1,1,-3.0
105,2023-11-13 16:27:42,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--张江路,4.0,-1,1,-4.0
106,2023-11-13 15:44:34,11,支付宝,不计收支,交易成功,支付宝担保交易,tb**1,美区港区韩区日区  STEAM账户小号成品纯数字账号可代注册外区,9.8,-1,1,-9.8
107,2023-11-13 12:58:55,11,支付宝,不计收支,交易成功,即时到账交易,瑞幸咖啡(三林印象城店),订单付款,9.9,-1,1,-9.9
108,2023-11-13 12:30:29,11,支付宝,不计收支,交易成功,即时到账交易,乐味食堂上海三林路店,乐味食堂上海三林路店,15.0,-1,1,-15.0
109,2023-11-13 11:04:56,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,张江路--三林东,4.0,-1,1,-4.0
110,2023-11-12 22:42:51,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--张江路,4.0,-1,1,-4.0
111,2023-11-12 22:18:59,11,支付宝,不计收支,交易成功,即时到账交易,顺丰速运,散单运费-顺丰速运,319.32,-1,1,-319.32
112,2023-11-12 14:55:06,11,支付宝,不计收支,交易成功,即时到账交易,宇佳超市,收钱码收款,17.0,-1,1,-17.0
113,2023-11-12 11:21:47,11,支付宝,不计收支,交易成功,即时到账交易,萧山蜀山伊青拉面店,收钱码收款,18.0,-1,1,-18.0
114,2023-11-11 23:42:04,11,支付宝,不计收支,交易成功,即时到账交易,高德打车,高德地图打车订单,11.49,-1,1,-11.49
115,2023-11-11 23:41:30,11,支付宝,不计收支,交易成功,即时到账交易,王波,收钱码收款,3.0,-1,1,-3.0
116,2023-11-11 23:26:50,11,支付宝,不计收支,交易成功,即时到账交易,杭州地铁,地铁-曹家桥-23:26:52-正常行程票款扣费,7.0,-1,1,-7.0
117,2023-11-11 22:31:16,11,支付宝,不计收支,交易成功,即时到账交易,罗森便利店,支付宝支付杭州枫华府第店消费,15.9,-1,1,-15.9
118,2023-11-11 19:56:45,11,支付宝,不计收支,交易成功,即时到账交易,浙江谊品科技有限公司,杭州谊品批发部黄龙云起店,8.0,-1,1,-8.0
119,2023-11-11 19:44:52,11,支付宝,不计收支,交易成功,即时到账交易,十足便利店,杭州学院路站店购物,5.8,-1,1,-5.8
120,2023-11-11 19:43:28,11,支付宝,不计收支,交易成功,即时到账交易,杭州地铁,地铁-学院路-19:43:27-正常行程票款扣费,7.0,-1,1,-7.0
121,2023-11-11 10:52:29,11,支付宝,不计收支,交易成功,支付宝担保交易,饿了么,CoCo都可(潘水店)外卖订单,22.3,-1,1,-22.3
122,2023-11-11 10:50:24,11,支付宝,不计收支,交易成功,即时到账交易,高德打车,高德地图打车订单,18.92,-1,1,-18.92
123,2023-11-11 10:23:00,11,支付宝,不计收支,交易成功,即时到账交易,杭州市萧山区中医院,杭州市萧山区中医院医疗收费,358.23,-1,1,-358.23
124,2023-11-11 10:22:21,11,支付宝,支出,支付成功,即时到账交易,杭州市萧山区中医院,医保支付(不含自费),0.0,-1,1,-0.0
125,2023-11-11 09:28:20,11,支付宝,不计收支,交易成功,即时到账交易,杭州市萧山区中医院,杭州市萧山区中医院医疗收费,5.0,-1,1,-5.0
126,2023-11-11 09:27:58,11,支付宝,支出,支付成功,即时到账交易,杭州市萧山区中医院,医保支付(不含自费),0.0,-1,1,-0.0
127,2023-11-11 09:04:28,11,支付宝,不计收支,交易成功,即时到账交易,杭州市萧山区中医院,杭州市萧山区中医院医疗收费,3.0,-1,1,-3.0
128,2023-11-11 08:49:18,11,支付宝,不计收支,交易成功,即时到账交易,高德打车,高德地图打车订单,19.1,-1,1,-19.1
129,2023-11-10 17:20:46,11,支付宝,不计收支,交易成功,即时到账交易,杭州地铁,地铁-曹家桥-17:20:43-正常行程票款扣费,3.0,-1,1,-3.0
130,2023-11-10 16:40:06,11,支付宝,不计收支,交易成功,即时到账交易,統一超商(淅江）便利店有限公司,7-ELEVEn浙江新华大厦消费,20.6,-1,1,-20.6
131,2023-11-10 16:20:36,11,支付宝,不计收支,交易成功,即时到账交易,杭州地铁,地铁-人民广场-16:20:33-正常行程票款扣费,3.0,-1,1,-3.0
132,2023-11-10 13:21:59,11,支付宝,不计收支,交易成功,即时到账交易,高德打车,高德地图打车订单,13.49,-1,1,-13.49
133,2023-11-10 12:22:55,11,支付宝,不计收支,交易成功,即时到账交易,高德打车,高德地图打车订单,12.59,-1,1,-12.59
134,2023-11-10 11:58:55,11,支付宝,不计收支,交易成功,即时到账交易,湘湖荷花餐厅,美团收银909700186304508484,3.49,-1,1,-3.49
135,2023-11-10 10:13:56,11,支付宝,不计收支,交易成功,即时到账交易,罗森(湘湖金融小镇店),支付宝支付湘湖金融小镇店消费,5.9,-1,1,-5.9
136,2023-11-10 08:34:48,11,支付宝,不计收支,交易成功,即时到账交易,高德打车,高德地图打车订单,16.23,-1,1,-16.23
137,2023-11-09 20:02:40,11,支付宝,不计收支,交易成功,即时到账交易,高德打车,高德地图打车订单,24.61,-1,1,-24.61
138,2023-11-09 16:25:12,11,支付宝,支出,交易成功,即时到账交易,yoki(张旭华),转账,9479.0,-1,1,-9479.0
139,2023-11-09 08:33:33,11,支付宝,不计收支,交易成功,即时到账交易,罗森(湘湖金融小镇店),支付宝支付湘湖金融小镇店消费,2.8,-1,1,-2.8
140,2023-11-08 18:58:15,11,支付宝,不计收支,交易成功,即时到账交易,萧嘉果蔬,111,8.7,-1,1,-8.7
141,2023-11-08 15:44:08,11,支付宝,不计收支,交易成功,即时到账交易,罗森(湘湖金融小镇店),支付宝支付湘湖金融小镇店消费,8.58,-1,1,-8.58
142,2023-11-08 15:39:45,11,支付宝,不计收支,交易成功,即时到账交易,罗森(湘湖金融小镇店),支付宝支付湘湖金融小镇店消费,5.0,-1,1,-5.0
143,2023-11-08 10:02:42,11,支付宝,不计收支,交易成功,即时到账交易,罗森(湘湖金融小镇店),支付宝支付湘湖金融小镇店消费,7.5,-1,1,-7.5
144,2023-11-08 09:02:41,11,支付宝,不计收支,交易成功,即时到账交易,高德打车,高德地图打车订单,8.72,-1,1,-8.72
